DATE,EFFR
2/1/2018,1.416315789
3/1/2018,1.505454545
4/1/2018,1.692380952
5/1/2018,1.7
6/1/2018,1.820952381
7/1/2018,1.91
8/1/2018,1.914782609
9/1/2018,1.948947368
10/1/2018,2.188181818
11/1/2018,2.199
12/1/2018,2.267
1/1/2019,2.4
2/1/2019,2.4
3/1/2019,2.403809524
4/1/2019,2.423181818
5/1/2019,2.392727273
6/1/2019,2.3755
7/1/2019,2.402727273
8/1/2019,2.125
9/1/2019,2.0525
10/1/2019,1.83
11/1/2019,1.552631579
12/1/2019,1.550952381
1/1/2020,1.551904762
2/1/2020,1.583684211
3/1/2020,0.625454545
4/1/2020,0.048636364
5/1/2020,0.05
6/1/2020,0.076818182
7/1/2020,0.093478261
8/1/2020,0.094761905
9/1/2020,0.09
10/1/2020,0.09
11/1/2020,0.086842105
12/1/2020,0.09
1/1/2021,0.085263158
2/1/2021,0.075789474
3/1/2021,0.069565217
4/1/2021,0.068636364
5/1/2021,0.0595
6/1/2021,0.077272727
7/1/2021,0.098571429
8/1/2021,0.093181818
9/1/2021,0.079047619
10/1/2021,0.0795
11/1/2021,0.0795
12/1/2021,0.079565217
1/1/2022,0.08
2/1/2022,0.08
3/1/2022,0.199565217
4/1/2022,0.33
5/1/2022,0.758571429
6/1/2022,1.187142857
7/1/2022,1.6545
8/1/2022,2.33
9/1/2022,2.58
10/1/2022,3.08
11/1/2022,3.755
12/1/2022,4.091904762
1/1/2023,4.33
,
