DATE,Unemployment Rate
1/1/2017,4.7
2/1/2017,4.6
3/1/2017,4.4
4/1/2017,4.4
5/1/2017,4.4
6/1/2017,4.3
7/1/2017,4.3
8/1/2017,4.4
9/1/2017,4.3
10/1/2017,4.2
11/1/2017,4.2
12/1/2017,4.1
1/1/2018,4
2/1/2018,4.1
3/1/2018,4
4/1/2018,4
5/1/2018,3.8
6/1/2018,4
7/1/2018,3.8
8/1/2018,3.8
9/1/2018,3.7
10/1/2018,3.8
11/1/2018,3.8
12/1/2018,3.9
1/1/2019,4
2/1/2019,3.8
3/1/2019,3.8
4/1/2019,3.6
5/1/2019,3.6
6/1/2019,3.6
7/1/2019,3.7
8/1/2019,3.7
9/1/2019,3.5
10/1/2019,3.6
11/1/2019,3.6
12/1/2019,3.6
1/1/2020,3.5
2/1/2020,3.5
3/1/2020,4.4
4/1/2020,14.7
5/1/2020,13.2
6/1/2020,11
7/1/2020,10.2
8/1/2020,8.4
9/1/2020,7.9
10/1/2020,6.9
11/1/2020,6.7
12/1/2020,6.7
1/1/2021,6.4
2/1/2021,6.2
3/1/2021,6
4/1/2021,6
5/1/2021,5.8
6/1/2021,5.9
7/1/2021,5.4
8/1/2021,5.2
9/1/2021,4.7
10/1/2021,4.6
11/1/2021,4.2
12/1/2021,3.9
1/1/2022,4
2/1/2022,3.8
3/1/2022,3.6
4/1/2022,3.6
5/1/2022,3.6
6/1/2022,3.6
7/1/2022,3.5
8/1/2022,3.7
9/1/2022,3.5
10/1/2022,3.7
11/1/2022,3.6
12/1/2022,3.5
